role,key,label,mode,route,webPath,file,fileExists,mutating,webBridgeUi
"TEACHER","teacher-sarpras-inventory","Aset Sekolah","hybrid","/teacher/sarpras-inventory","/teacher/sarpras/inventory","mobile-app/app/(app)/teacher/sarpras-inventory.tsx","true","false","true"
"TEACHER","teacher-sarpras-budgets","Persetujuan Anggaran","hybrid","/teacher/sarpras-budgets","/teacher/sarpras/budgets","mobile-app/app/(app)/teacher/sarpras-budgets.tsx","true","true","true"
"TEACHER","teacher-sarpras-reports","Laporan","hybrid","/teacher/sarpras-reports","/teacher/sarpras/reports","mobile-app/app/(app)/teacher/sarpras-reports.tsx","true","false","true"
"TEACHER","teacher-humas-settings","Pengaturan PKL","hybrid","/teacher/humas-settings","/teacher/humas/settings","mobile-app/app/(app)/teacher/humas-settings.tsx","true","false","true"
"TEACHER","teacher-humas-approval","Persetujuan PKL","hybrid","/teacher/humas-approval","/teacher/internship/approval","mobile-app/app/(app)/teacher/humas-approval.tsx","true","false","true"
"TEACHER","teacher-humas-components","Nilai PKL","hybrid","/teacher/humas-components","/teacher/wakasek/internship-components","mobile-app/app/(app)/teacher/humas-components.tsx","true","false","true"
"TEACHER","teacher-humas-journals","Monitoring Jurnal","hybrid","/teacher/humas-journals","/teacher/wakasek/journal-monitoring","mobile-app/app/(app)/teacher/humas-journals.tsx","true","false","true"
"TEACHER","teacher-humas-partners","Mitra Industri","hybrid","/teacher/humas-partners","/teacher/humas/partners","mobile-app/app/(app)/teacher/humas-partners.tsx","true","false","true"
"TEACHER","teacher-humas-reports","Laporan","hybrid","/teacher/humas-reports","/teacher/humas/reports","mobile-app/app/(app)/teacher/humas-reports.tsx","true","false","true"
"TEACHER","teacher-head-lab-inventory","Inventaris Lab","hybrid","/teacher/head-lab-inventory","/teacher/head-lab/inventory?filter=lab","mobile-app/app/(app)/teacher/head-lab-inventory.tsx","true","false","true"
"TEACHER","teacher-head-lab-schedule","Jadwal Lab","hybrid","/teacher/head-lab-schedule","/teacher/head-lab/schedule","mobile-app/app/(app)/teacher/head-lab-schedule.tsx","true","false","true"
"TEACHER","teacher-head-lab-incidents","Laporan Insiden","hybrid","/teacher/head-lab-incidents","/teacher/head-lab/incidents","mobile-app/app/(app)/teacher/head-lab-incidents.tsx","true","false","true"
"TEACHER","teacher-head-library-inventory","Inventaris Perpustakaan","hybrid","/teacher/head-library-inventory","/teacher/head-library/inventory?filter=library","mobile-app/app/(app)/teacher/head-library-inventory.tsx","true","false","true"
"TEACHER","teacher-profile","Profil","hybrid","/profile","/teacher/profile","mobile-app/app/(app)/profile.tsx","true","false","false"
"ADMIN","admin-dashboard","Dashboard","web-bridge","","/admin","","false","false","false"
"ADMIN","admin-academic-years","Tahun Ajaran","web-bridge","","/admin/academic-years","","false","false","false"
"ADMIN","admin-majors","Kompetensi Keahlian","web-bridge","","/admin/majors","","false","false","false"
"ADMIN","admin-classes","Kelas","web-bridge","","/admin/classes","","false","false","false"
"ADMIN","admin-training-classes","Kelas Training","web-bridge","","/admin/training-classes","","false","false","false"
"ADMIN","admin-subjects","Mata Pelajaran","web-bridge","","/admin/subjects","","false","false","false"
"ADMIN","admin-subject-categories","Kategori Mapel","web-bridge","","/admin/subject-categories","","false","false","false"
"ADMIN","admin-extracurriculars","Ekstrakurikuler","web-bridge","","/admin/extracurriculars","","false","false","false"
"ADMIN","admin-user-admin","Kelola Admin","web-bridge","","/admin/admin-users","","false","false","false"
"ADMIN","admin-user-principal","Kelola Kepsek","web-bridge","","/admin/principal-users","","false","false","false"
"ADMIN","admin-user-staff","Kelola Staff","web-bridge","","/admin/staff-users","","false","false","false"
"ADMIN","admin-user-examiner","Kelola Penguji","web-bridge","","/admin/examiner-users","","false","false","false"
"ADMIN","admin-user-tutor","Kelola Pembina Ekskul","web-bridge","","/admin/tutor-users","","false","false","false"
"ADMIN","admin-user-parent","Kelola Orang Tua","web-bridge","","/admin/parent-users","","false","false","false"
"ADMIN","admin-user-teacher","Kelola Guru","web-bridge","","/admin/teachers","","false","false","false"
"ADMIN","admin-user-student","Kelola Siswa","web-bridge","","/admin/students","","false","false","false"
"ADMIN","admin-user-verify","Verifikasi Akun","web-bridge","","/admin/user-verification","","false","false","false"
"ADMIN","admin-teacher-assignment","Assignment Guru","web-bridge","","/admin/teacher-assignments","","false","false","false"
"ADMIN","admin-import-export","Export/Import","web-bridge","","/admin/import-export","","false","false","false"
"ADMIN","admin-academic-calendar","Kalender Akademik","web-bridge","","/admin/academic-calendar","","false","false","false"
"ADMIN","admin-schedule","Jadwal Pelajaran","web-bridge","","/admin/schedule","","false","false","false"
"ADMIN","admin-teaching-load","Rekap Jam Mengajar","web-bridge","","/admin/teaching-load","","false","false","false"
"ADMIN","admin-kkm","Data KKM","web-bridge","","/admin/kkm","","false","false","false"
"ADMIN","admin-attendance-recap","Rekap Absensi","web-bridge","","/admin/attendance","","false","false","false"
"ADMIN","admin-report-cards","Laporan / Rapor","web-bridge","","/admin/report-cards","","false","false","false"
"ADMIN","admin-question-bank","Bank Soal","web-bridge","","/admin/question-bank","","false","false","false"
"ADMIN","admin-exam-sessions","Sesi Ujian","web-bridge","","/admin/exam-sessions","","false","false","false"
"ADMIN","admin-school-profile","Profil Sekolah","web-bridge","","/admin/settings/profile","","false","false","false"
"ADMIN","admin-password","Ubah Password","web-bridge","","/admin/settings/password","","false","false","false"
"EXAMINER","examiner-dashboard","Dashboard","web-bridge","","/examiner/dashboard","","false","false","false"
"EXAMINER","examiner-schemes","Data Skema","hybrid","/examiner/schemes","/examiner/schemes","mobile-app/app/(app)/examiner/schemes.tsx","true","false","true"
"EXAMINER","assessment","Penilaian UKK","hybrid","/examiner/assessment","/examiner/ukk-assessment","mobile-app/app/(app)/examiner/assessment.tsx","true","false","true"
"EXAMINER","examiner-profile","Profil","hybrid","/profile","/examiner/profile","mobile-app/app/(app)/profile.tsx","true","false","false"
"PRINCIPAL","principal-dashboard","Dashboard","hybrid","/principal/overview","/principal","mobile-app/app/(app)/principal/overview.tsx","true","false","true"
"PRINCIPAL","principal-reports","Rapor & Ranking","hybrid","/principal/overview","/principal/academic/reports","mobile-app/app/(app)/principal/overview.tsx","true","false","true"
"PRINCIPAL","principal-attendance","Rekap Absensi","hybrid","/principal/attendance","/principal/academic/attendance","mobile-app/app/(app)/principal/attendance.tsx","true","false","true"
"PRINCIPAL","principal-finance-requests","Pengajuan Anggaran","hybrid","/principal/approvals","/principal/finance/requests","mobile-app/app/(app)/principal/approvals.tsx","true","true","false"
"PRINCIPAL","principal-students","Data Siswa","web-bridge","","/principal/students","","false","false","false"
"PRINCIPAL","principal-teachers","Data Guru","web-bridge","","/principal/teachers","","false","false","false"
"STAFF","staff-dashboard","Dashboard","web-bridge","","/staff","","false","false","false"
